排程單號
機台號,缸號,工單,開卡日時間,投胚日時間
D03,32,C50177221B,2017-08-19 04:03:57,
D14,32,C50178020A,2017-08-18 19:54:53,
D01,32,C50178082A,2017-08-19 07:17:10,
D16,32,A62178045A,2017-08-19 15:14:46,
D14,32,B88177084D,2017-08-19 17:48:40,
D16,32,A02176107A,2017-08-20 02:43:18,
#====第32缸排程工單==end==#
%%
#====暫時缸未排程工單==start==#
#====暫時缸未排程工單==start==#
%%
